InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV100027,P285,Product 39,4,2023-05-25,62.8,10035.0,United Kingdom
INV100028,P223,Product 12,3,2023-02-15,76.68,10194.0,United Kingdom
INV100029,P319,Product 9,6,2024-04-07,24.31,10064.0,United Kingdom
INV100030,P308,Product 32,2,2024-04-06,93.78,10145.0,Germany
INV100031,P416,Product 33,5,2023-01-06,21.79,10236.0,India
INV100032,P328,Product 32,2,2023-04-13,67.61,10220.0,Germany
INV100033,P606,Product 29,2,2023-02-12,95.68,10154.0,Spain
INV100034,P536,Product 18,9,2023-04-25,46.69,10036.0,France
INV100035,P605,Product 14,10,2023-01-29,13.85,10023.0,Spain
INV100036,P897,Product 36,2,2023-02-24,96.42,10203.0,France
INV100037,P721,Product 9,-2,2023-03-15,78.43,10124.0,India
INV100038,P273,Product 3,8,2024-02-24,35.58,10202.0,Germany
INV100039,P285,Product 13,4,2023-03-27,28.34,10127.0,Germany
INV100040,P837,Product 28,10,2023-07-31,80.89,10032.0,Germany
INV100041,P131,Product 30,5,2023-12-28,93.02,10219.0,India
INV100042,P868,Product 35,10,2023-10-01,71.57,10014.0,France
INV100043,P956,Product 15,6,2023-12-15,9.5,10165.0,India
INV100044,P991,Product 25,4,2024-06-07,91.8,10086.0,France
INV100045,P581,Product 26,4,2024-05-30,69.57,10154.0,Germany
INV100046,P997,Product 42,-2,2023-03-28,47.28,10219.0,Spain
INV100047,P403,Product 21,3,2023-04-25,81.98,10154.0,Germany
INV100048,P623,Product 21,9,2024-02-25,39.88,10079.0,India
INV100049,P978,Product 39,2,2023-02-19,27.92,10105.0,Spain
INV100050,P558,Product 13,4,2024-02-28,60.13,,India
INV100051,P996,Product 12,4,2023-05-09,94.58,10068.0,Spain
INV100052,P659,Product 39,1,2023-12-10,67.61,10164.0,Spain
INV100053,P634,Product 15,5,2024-04-11,12.82,10067.0,United Kingdom
INV100054,P353,Product 43,9,2024-03-09,15.26,10211.0,Germany
INV100055,P694,Product 3,7,2023-05-19,82.96,10212.0,India
INV100056,P480,Product 2,2,2023-10-18,13.06,10108.0,France
INV100057,P527,Product 35,9,2024-02-13,88.55,10168.0,France
INV100058,P934,Product 20,5,2023-08-30,14.24,10210.0,United Kingdom
INV100059,P142,Product 24,10,2023-12-07,63.13,10133.0,United Kingdom
INV100060,P793,Product 28,3,2024-06-16,28.22,10185.0,France
INV100061,P192,Product 22,-10,2023-05-20,53.24,10141.0,Netherlands
INV100062,P106,Product 31,7,2023-08-10,46.94,10035.0,Germany
INV100063,P713,Product 45,4,2023-06-26,75.25,10051.0,India
INV100064,P582,Product 40,5,2023-08-30,89.75,10180.0,United Kingdom
INV100065,P328,Product 47,4,2023-03-24,84.89,10175.0,France
INV100066,P543,Product 35,2,2024-03-15,8.22,10106.0,France
INV100067,P456,Product 13,7,2023-12-15,81.11,10231.0,Spain
INV100068,P132,Product 37,-2,2023-06-23,5.72,10085.0,Spain
INV100069,P929,Product 47,1,2024-05-18,86.26,10140.0,Spain
INV100070,P324,Product 15,4,2023-06-27,87.13,10173.0,Germany
INV100071,P968,Product 43,4,2024-03-07,70.69,10207.0,Spain
INV100072,P555,Product 17,1,2023-12-30,48.25,10195.0,France
INV100073,P319,Product 2,-4,2023-04-20,21.0,10228.0,Netherlands
INV100074,P609,Product 16,1,2023-11-11,97.54,,Spain
INV100075,P471,Product 50,-9,2024-06-05,55.49,10097.0,Netherlands
INV100076,P739,Product 43,8,2023-08-23,14.11,10099.0,United Kingdom
INV100077,P496,Product 6,6,2023-11-21,76.95,10131.0,Spain
INV100078,P868,Product 31,5,2023-08-18,66.83,10240.0,United Kingdom
INV100079,P526,Product 31,10,2023-07-06,6.14,10095.0,India
INV100080,P148,Product 6,2,2023-10-04,70.9,10177.0,France
INV100081,P140,Product 23,2,2024-03-24,90.12,10165.0,France
INV100082,P244,Product 47,9,2023-10-20,92.36,10233.0,Germany
INV100083,P786,Product 16,4,2023-04-15,72.65,10063.0,Germany
INV100084,P712,Product 1,9,2023-09-03,46.96,10178.0,India
INV100085,P825,Product 12,3,2024-02-23,34.16,10144.0,Netherlands
INV100086,P471,Product 41,8,2024-06-05,28.08,10224.0,Spain
INV100087,P599,Product 1,8,2024-02-03,86.87,10031.0,France
INV100088,P243,Product 31,3,2024-03-20,23.32,10002.0,Germany
INV100089,P730,Product 9,10,2023-03-02,60.18,10132.0,Netherlands
INV100090,P746,Product 12,10,2023-04-07,34.0,10199.0,United Kingdom
INV100091,P835,Product 33,2,2023-11-23,96.8,10056.0,France
INV100092,P231,Product 17,5,2023-11-12,81.21,10173.0,Spain
INV100093,P509,Product 21,5,2023-12-16,39.75,10135.0,Netherlands
INV100094,P464,Product 30,7,2023-04-29,47.16,10020.0,France
INV100095,P772,Product 24,6,2024-06-06,48.92,10100.0,Germany
INV100096,P205,Product 30,3,2023-10-19,10.19,10113.0,United Kingdom
INV100097,P963,Product 49,1,2023-04-05,42.22,10033.0,United Kingdom
INV100098,P686,Product 36,4,2024-02-01,73.45,10097.0,India
INV100099,P402,Product 46,4,2024-06-02,99.84,10051.0,Germany
INV100100,P219,Product 4,9,2023-09-11,36.81,10246.0,Netherlands
INV100101,P533,Product 28,4,2023-12-12,74.07,10214.0,Germany
INV100102,P498,Product 35,-4,2023-07-21,92.97,10186.0,Germany
INV100103,P735,Product 6,-10,2023-03-26,7.28,10131.0,Spain
INV100104,P429,Product 40,5,2024-05-11,21.35,10044.0,Germany
INV100105,P886,Product 1,8,2023-07-20,88.94,10101.0,United Kingdom
INV100106,P623,Product 3,3,2023-10-06,60.02,10229.0,Germany
INV100107,P464,Product 31,3,2023-05-31,79.72,10030.0,France
INV100108,P320,Product 34,9,2023-02-02,26.14,10164.0,Spain
INV100109,P658,Product 12,5,2023-11-28,30.11,10184.0,Spain
INV100110,P366,Product 32,1,2023-11-04,92.17,10247.0,India
INV100111,P911,Product 14,4,2023-05-01,50.81,10015.0,Germany
INV100112,P211,Product 40,7,2024-05-06,66.38,10061.0,Spain
INV100113,P166,Product 45,9,2024-03-06,54.46,10113.0,Netherlands
INV100114,P420,Product 47,4,2023-07-07,26.16,10008.0,Spain
INV100115,P628,Product 40,10,2023-05-11,45.95,10207.0,India
INV100116,P474,Product 21,9,2023-08-20,52.63,10194.0,France
INV100117,P424,Product 47,4,2023-05-27,60.99,10065.0,France
INV100118,P597,Product 45,1,2024-03-16,19.91,10038.0,Germany
INV100119,P290,Product 33,7,2024-02-10,53.09,10164.0,Spain
INV100120,P453,Product 28,3,2023-01-06,9.6,10073.0,United Kingdom
INV100121,P625,Product 2,10,2023-12-08,53.73,10212.0,Netherlands
INV100122,P773,Product 49,4,2024-01-22,72.21,10019.0,India
INV100123,P293,Product 32,5,2023-06-01,7.64,10109.0,United Kingdom
INV100124,P467,Product 34,6,2023-10-24,8.74,10136.0,India
INV100125,P832,Product 4,6,2024-03-29,10.6,,India
INV100126,P407,Product 11,6,2023-03-13,47.93,10057.0,Spain
INV100127,P423,Product 48,-5,2023-03-30,11.03,10208.0,Netherlands
INV100128,P616,Product 10,8,2024-01-12,82.19,10090.0,United Kingdom
INV100129,P374,Product 35,5,2023-09-24,5.26,10099.0,India
INV100130,P550,Product 37,3,2023-09-18,36.2,10019.0,India
INV100131,P673,Product 34,9,2023-05-21,95.26,10128.0,Netherlands
INV100132,P839,Product 4,5,2024-06-16,20.87,10081.0,United Kingdom
INV100133,P265,Product 39,5,2023-03-05,18.94,10225.0,Spain
INV100134,P789,Product 38,8,2023-10-04,49.58,10068.0,United Kingdom
INV100135,P385,Product 32,2,2023-12-11,14.16,10016.0,Netherlands
INV100136,P878,Product 25,10,2023-03-10,70.73,10042.0,India
INV100137,P809,Product 19,3,2023-03-23,30.68,10230.0,United Kingdom
INV100138,P374,Product 28,1,2024-06-19,43.47,10085.0,France
INV100139,P408,Product 27,3,2024-05-27,96.55,10064.0,India
INV100140,P544,Product 37,5,2024-04-03,45.18,10035.0,Netherlands
INV100141,P499,Product 17,10,2023-04-14,86.28,10214.0,Spain
INV100142,P771,Product 31,8,2023-11-08,82.69,10063.0,France
INV100143,P331,Product 22,-2,2024-02-16,71.6,10157.0,Netherlands
INV100144,P732,Product 37,6,2023-03-21,27.41,10151.0,India
INV100145,P702,Product 50,4,2023-10-08,31.62,10066.0,Germany
INV100146,P736,Product 32,2,2024-05-24,46.6,10162.0,Spain
INV100147,P730,Product 10,3,2024-06-29,60.58,10000.0,Germany
INV100148,P164,Product 50,5,2023-12-18,55.55,10092.0,France
INV100149,P338,Product 6,2,2023-05-15,41.28,10084.0,Germany
INV100150,P750,Product 8,9,2024-01-25,42.54,10184.0,France
INV100151,P952,Product 12,8,2023-07-21,14.64,10005.0,Germany
INV100152,P864,Product 8,2,2023-07-26,25.5,10129.0,United Kingdom
INV100153,P660,Product 43,7,2023-07-02,85.53,10111.0,Germany
INV100154,P445,Product 23,4,2023-03-01,19.97,10108.0,India
INV100155,P992,Product 32,10,2024-01-23,85.11,10231.0,Netherlands
INV100156,P308,Product 32,5,2023-06-13,95.82,10245.0,Netherlands
INV100157,P495,Product 44,10,2024-04-17,57.07,10242.0,Spain
INV100158,P759,Product 30,-6,2023-04-27,9.93,10072.0,France
INV100159,P542,Product 18,2,2023-10-10,42.48,10119.0,Spain
INV100160,P598,Product 36,9,2023-05-22,32.5,,Netherlands
INV100161,P176,Product 16,9,2024-06-04,22.07,10219.0,France
INV100162,P426,Product 3,7,2024-03-29,23.4,10179.0,Netherlands
INV100163,P711,Product 26,4,2023-08-09,36.24,10022.0,India
INV100164,P806,Product 48,-1,2023-07-21,51.82,10167.0,United Kingdom
INV100165,P639,Product 32,3,2023-07-23,18.14,10202.0,Germany
INV100166,P168,Product 9,-1,2024-03-08,48.93,10118.0,Netherlands
INV100167,P386,Product 23,5,2023-04-26,17.85,10144.0,Spain
INV100168,P683,Product 39,10,2023-05-11,84.24,10144.0,United Kingdom
INV100169,P355,Product 26,9,2024-05-18,25.84,10066.0,France
INV100170,P573,Product 41,6,2024-04-26,51.69,10244.0,France
INV100171,P527,Product 6,4,2023-07-18,20.18,10013.0,Germany
INV100172,P495,Product 2,4,2024-02-14,75.62,10169.0,India
INV100173,P933,Product 23,9,2023-10-18,33.59,10017.0,Germany
INV100174,P580,Product 24,2,2023-06-14,61.19,10095.0,India
INV100175,P726,Product 24,6,2023-08-27,47.2,10217.0,France
INV100176,P683,Product 7,9,2023-08-08,11.24,10015.0,Netherlands
INV100177,P891,Product 24,10,2023-12-02,40.57,10144.0,United Kingdom
INV100178,P410,Product 40,2,2023-11-13,96.65,10117.0,France
INV100179,P808,Product 7,4,2024-03-14,92.76,10141.0,India
INV100180,P277,Product 22,10,2023-03-03,89.5,10002.0,United Kingdom
INV100181,P756,Product 22,4,2024-02-01,51.92,10130.0,Netherlands
INV100182,P223,Product 29,10,2023-12-29,80.8,10221.0,United Kingdom
INV100183,P499,Product 23,4,2023-05-22,91.5,10130.0,India
INV100184,P305,Product 16,8,2024-04-23,87.78,10147.0,Spain
INV100185,P889,Product 8,2,2024-04-20,62.12,10101.0,Germany
INV100186,P449,Product 26,5,2023-05-16,40.84,10211.0,India
INV100187,P387,Product 43,8,2024-01-15,87.36,10231.0,France
INV100188,P754,Product 12,7,2023-09-18,12.38,10041.0,India
INV100189,P286,Product 36,10,2023-08-31,58.73,10090.0,Germany
INV100190,P273,Product 50,3,2024-03-15,21.74,10077.0,India
INV100191,P521,Product 8,2,2023-06-14,73.48,10247.0,France
INV100192,P615,Product 47,3,2024-04-23,34.39,10209.0,Germany
INV100193,P801,Product 43,3,2023-07-22,82.95,10014.0,Spain
INV100194,P451,Product 24,5,2024-01-31,59.76,10094.0,France
INV100195,P801,Product 39,6,2023-12-10,24.52,10153.0,Germany
INV100196,P872,Product 1,5,2024-02-22,16.47,10115.0,United Kingdom
INV100197,P114,Product 8,2,2023-01-03,33.69,10090.0,Spain
INV100198,P539,Product 38,5,2024-02-09,23.8,10097.0,Spain
INV100199,P590,Product 33,7,2023-11-02,32.95,10041.0,India
INV100200,P469,Product 28,9,2023-10-08,56.24,10208.0,India
INV100201,P907,Product 40,7,2024-06-02,19.1,10024.0,Spain
INV100202,P823,Product 4,1,2023-02-04,95.18,10089.0,Netherlands
INV100203,P437,Product 21,8,2023-09-21,6.66,10233.0,Germany
INV100204,P826,Product 9,3,2023-05-28,13.82,10217.0,France
INV100205,P630,Product 22,8,2023-04-07,21.44,10037.0,India
INV100206,P349,Product 32,8,2023-05-14,37.98,10056.0,India
INV100207,P209,Product 35,3,2023-08-23,57.12,10025.0,Germany
INV100208,P435,Product 31,6,2023-08-28,47.93,10083.0,France
INV100209,P807,Product 18,4,2023-11-14,49.23,10221.0,Germany
INV100210,P607,Product 47,5,2023-04-16,11.69,10032.0,United Kingdom
INV100211,P228,Product 3,4,2023-07-01,33.92,10112.0,Netherlands
INV100212,P173,Product 18,3,2023-07-26,75.07,10004.0,France
INV100213,P733,Product 6,6,2024-04-14,44.35,10170.0,France
INV100214,P808,Product 9,9,2024-07-04,38.94,10132.0,Germany
INV100215,P334,Product 23,7,2023-11-19,15.79,10056.0,Germany
INV100216,P373,Product 34,6,2023-10-16,73.21,10156.0,Germany
INV100217,P929,Product 16,3,2024-07-01,50.6,,Germany
INV100218,P595,Product 41,7,2023-11-06,24.62,10148.0,India
INV100219,P846,Product 3,10,2023-05-10,23.9,10044.0,United Kingdom
INV100220,P939,Product 48,5,2023-06-23,66.41,10088.0,Netherlands
INV100221,P854,Product 33,1,2023-02-12,7.24,10168.0,France
INV100222,P468,Product 19,2,2023-10-06,6.43,10015.0,Germany
INV100223,P191,Product 9,1,2024-01-29,35.41,10072.0,France
INV100224,P269,Product 24,1,2024-03-17,66.04,10238.0,India
INV100225,P757,Product 45,-6,2024-02-24,37.29,10146.0,United Kingdom
INV100226,P980,Product 6,5,2024-02-15,62.67,10213.0,Spain
INV100227,P959,Product 6,7,2023-07-20,96.85,10143.0,United Kingdom
INV100228,P609,Product 15,4,2023-12-17,91.6,10047.0,France
INV100229,P108,Product 29,5,2023-05-15,42.16,10117.0,India
INV100230,P224,Product 23,7,2023-01-12,54.97,10055.0,India
INV100231,P874,Product 47,7,2024-05-18,15.15,10044.0,Spain
INV100232,P446,Product 35,9,2024-04-16,56.55,10192.0,Germany
INV100233,P919,Product 15,7,2023-05-13,18.33,10079.0,Germany
INV100234,P282,Product 26,9,2024-03-19,8.34,10010.0,India
INV100235,P799,Product 20,1,2023-11-10,13.38,10116.0,India
INV100236,P410,Product 27,5,2023-01-06,33.44,,Netherlands
INV100237,P157,Product 48,5,2023-08-22,49.66,10212.0,United Kingdom
INV100238,P449,Product 35,3,2024-01-10,39.16,10170.0,France
INV100239,P401,Product 23,-1,2024-05-04,46.81,10194.0,Germany
INV100240,P430,Product 15,8,2023-06-17,97.54,10046.0,Netherlands
INV100241,P451,Product 41,6,2023-04-13,61.48,10159.0,Netherlands
INV100242,P639,Product 10,-7,2023-01-07,42.45,10113.0,United Kingdom
INV100243,P698,Product 32,2,2024-04-10,7.82,10222.0,India
INV100244,P790,Product 44,10,2024-04-07,83.55,10095.0,France
INV100245,P118,Product 37,5,2024-01-01,76.25,10055.0,France
INV100246,P981,Product 11,2,2023-12-29,98.42,10190.0,Germany
INV100247,P922,Product 23,1,2023-02-24,77.32,10140.0,Netherlands
INV100248,P837,Product 3,7,2023-05-19,47.61,10233.0,Spain
INV100249,P480,Product 1,8,2024-07-02,91.47,10170.0,Netherlands
INV100250,P985,Product 30,8,2023-05-31,92.4,10165.0,India
INV100251,P621,Product 1,3,2024-03-18,56.59,10013.0,Netherlands
INV100252,P650,Product 49,3,2023-03-25,84.65,10078.0,Germany
INV100253,P563,Product 50,4,2023-10-11,90.6,10222.0,Netherlands
INV100254,P716,Product 43,6,2023-07-19,68.91,10163.0,India
INV100255,P181,Product 12,9,2023-02-14,91.2,10235.0,Spain
INV100256,P268,Product 39,8,2023-07-14,26.08,,United Kingdom
INV100257,P958,Product 24,9,2023-08-26,72.58,10166.0,Netherlands
INV100258,P566,Product 3,7,2024-01-24,80.31,10155.0,Spain
INV100259,P281,Product 29,9,2023-04-05,43.52,10084.0,United Kingdom
INV100260,P980,Product 9,2,2023-06-25,59.49,10182.0,Spain
INV100261,P325,Product 42,6,2023-03-21,61.26,10223.0,France
INV100262,P961,Product 46,10,2023-03-09,44.08,10007.0,Netherlands
INV100263,P700,Product 14,5,2024-04-17,37.09,10112.0,Netherlands
INV100264,P614,Product 9,4,2023-03-17,87.24,10022.0,Spain
INV100265,P481,Product 14,1,2024-01-22,57.98,10014.0,Netherlands
INV100266,P400,Product 8,9,2023-05-15,7.31,10089.0,Spain
INV100267,P776,Product 5,4,2023-04-15,23.69,10169.0,Netherlands
INV100268,P745,Product 20,2,2024-06-28,72.38,10238.0,Netherlands
INV100269,P854,Product 41,6,2023-05-06,22.61,10005.0,United Kingdom
INV100270,P394,Product 44,7,2024-01-07,81.51,10219.0,India
INV100271,P254,Product 43,9,2023-06-02,88.24,10238.0,India
INV100272,P114,Product 34,1,2023-07-21,15.02,10221.0,United Kingdom
INV100273,P384,Product 9,7,2024-01-25,56.03,10204.0,Germany
INV100274,P363,Product 46,1,2023-06-03,46.27,10175.0,United Kingdom
INV100275,P615,Product 35,2,2024-05-01,63.82,10050.0,Netherlands
INV100276,P680,Product 23,8,2023-10-19,89.73,10113.0,India
INV100277,P556,Product 30,9,2024-02-12,33.38,10087.0,Germany
INV100278,P734,Product 46,1,2024-05-31,50.63,10187.0,Spain
INV100279,P226,Product 3,4,2024-05-08,91.58,10059.0,United Kingdom
INV100280,P267,Product 25,7,2023-08-21,40.71,10152.0,United Kingdom
INV100281,P788,Product 27,2,2024-02-27,16.62,10025.0,Germany
INV100282,P860,Product 35,8,2023-08-05,55.55,10121.0,Germany
INV100283,P696,Product 9,1,2023-02-16,16.68,10081.0,Netherlands
INV100284,P683,Product 37,10,2023-01-25,36.69,10084.0,Germany
INV100285,P729,Product 12,4,2024-05-01,58.33,10234.0,Spain
INV100286,P860,Product 22,10,2023-06-02,11.65,10102.0,India
INV100287,P809,Product 46,4,2024-03-09,38.88,10073.0,Germany
INV100288,P532,Product 3,5,2024-02-14,82.3,10125.0,Germany
INV100289,P917,Product 43,9,2024-01-12,95.53,10187.0,Netherlands
INV100290,P243,Product 9,-1,2024-05-21,70.64,10213.0,India
INV100291,P408,Product 3,1,2023-01-04,37.74,10039.0,India
INV100292,P156,Product 38,5,2024-06-18,45.1,10197.0,Germany
INV100293,P767,Product 16,3,2023-02-05,30.93,10225.0,Spain
INV100294,P380,Product 33,10,2023-07-16,12.22,10092.0,United Kingdom
INV100295,P227,Product 47,9,2023-10-24,57.18,10127.0,India
INV100296,P465,Product 21,3,2024-02-26,7.17,10182.0,India
INV100297,P826,Product 32,9,2023-06-20,84.72,10029.0,Netherlands
INV100298,P885,Product 4,10,2024-01-23,8.95,,India
INV100299,P556,Product 22,10,2023-02-13,39.25,10050.0,Netherlands
INV100300,P769,Product 45,4,2023-01-26,9.81,10132.0,Spain
INV100301,P730,Product 3,8,2023-06-06,83.82,10218.0,United Kingdom
INV100302,P368,Product 6,1,2023-10-10,35.7,10165.0,Germany
INV100303,P875,Product 6,1,2023-07-11,79.38,10162.0,India
INV100304,P194,Product 2,9,2023-03-16,34.54,10175.0,France
INV100305,P709,Product 41,3,2024-04-03,62.1,10133.0,United Kingdom
INV100306,P218,Product 20,7,2023-10-19,54.53,10120.0,France
INV100307,P472,Product 29,3,2023-01-29,45.98,10115.0,India
INV100308,P532,Product 36,3,2023-12-23,56.68,10022.0,United Kingdom
INV100309,P182,Product 21,7,2023-04-22,95.86,10022.0,India
INV100310,P671,Product 37,6,2024-04-14,29.34,10037.0,Germany
INV100311,P298,Product 2,7,2023-12-03,44.9,10140.0,France
INV100312,P783,Product 12,7,2024-04-04,70.66,10067.0,Spain
INV100313,P338,Product 45,2,2024-03-09,59.18,10231.0,Spain
INV100314,P228,Product 16,10,2023-01-01,77.0,10056.0,Germany
INV100315,P179,Product 49,8,2023-08-23,53.15,10057.0,United Kingdom
INV100316,P403,Product 48,10,2023-05-04,50.83,10006.0,Germany
INV100317,P654,Product 36,4,2023-10-10,61.62,10171.0,Germany
INV100318,P591,Product 26,6,2023-06-18,32.07,10234.0,Netherlands
INV100319,P167,Product 38,9,2023-12-06,32.19,10216.0,France
INV100320,P166,Product 38,1,2024-02-23,22.4,10036.0,United Kingdom
INV100321,P757,Product 33,-1,2023-05-26,98.52,10114.0,Germany
INV100322,P357,Product 39,2,2023-03-16,90.58,10051.0,Netherlands
INV100323,P212,Product 14,4,2024-06-01,30.13,10024.0,India
INV100324,P149,Product 14,10,2023-06-14,83.45,10018.0,United Kingdom
INV100325,P391,Product 28,3,2024-05-23,26.76,10139.0,Netherlands
INV100326,P238,Product 14,8,2023-03-09,21.38,10233.0,France
INV100327,P292,Product 40,3,2023-07-11,30.95,10175.0,Germany
INV100328,P746,Product 24,7,2024-05-03,89.12,10114.0,United Kingdom
INV100329,P802,Product 11,7,2023-05-21,41.51,10240.0,France
INV100330,P953,Product 41,8,2023-05-03,69.68,10182.0,United Kingdom
INV100331,P746,Product 30,4,2024-05-07,48.8,10044.0,India
INV100332,P691,Product 7,5,2024-04-05,34.01,10056.0,Spain
INV100333,P595,Product 30,7,2024-01-06,16.16,10208.0,Germany
INV100334,P483,Product 29,4,2024-06-03,90.44,10159.0,United Kingdom
INV100335,P760,Product 19,1,2023-02-08,75.29,10056.0,United Kingdom
INV100336,P825,Product 45,10,2023-08-09,24.86,10243.0,France
INV100337,P840,Product 27,5,2023-04-18,71.54,10222.0,Spain
INV100338,P547,Product 5,1,2024-04-01,43.43,10153.0,Germany
INV100339,P405,Product 2,9,2024-01-29,33.09,10245.0,United Kingdom
INV100340,P352,Product 11,1,2024-06-23,27.96,10140.0,France
INV100341,P380,Product 31,9,2023-09-20,45.8,10145.0,Germany
INV100342,P792,Product 29,10,2023-06-08,96.4,10040.0,Germany
INV100343,P455,Product 42,4,2023-07-15,12.2,,United Kingdom
INV100344,P503,Product 29,4,2024-03-28,26.18,10239.0,Netherlands
INV100345,P278,Product 35,1,2023-04-12,22.51,10233.0,India
INV100346,P607,Product 17,6,2023-05-18,79.05,10200.0,Germany
INV100347,P850,Product 44,9,2023-10-14,38.59,10139.0,Netherlands
INV100348,P526,Product 28,7,2024-02-07,44.16,10129.0,India
INV100349,P432,Product 32,2,2023-06-25,38.18,10234.0,Netherlands
INV100350,P874,Product 26,9,2023-04-24,90.93,10183.0,Germany
INV100351,P405,Product 39,7,2023-12-07,5.86,10069.0,Netherlands
INV100352,P111,Product 46,9,2024-06-17,27.07,10052.0,Germany
INV100353,P961,Product 48,6,2024-02-05,34.0,10166.0,Germany
INV100354,P219,Product 42,6,2024-04-24,91.07,10037.0,India
INV100355,P136,Product 48,8,2023-09-20,55.67,10112.0,Netherlands
INV100356,P476,Product 20,1,2023-04-11,53.75,10191.0,France
INV100357,P646,Product 36,2,2023-10-12,25.11,10147.0,France
INV100358,P848,Product 29,3,2023-12-04,40.35,10156.0,United Kingdom
INV100359,P203,Product 15,7,2023-02-06,44.99,10055.0,United Kingdom
INV100360,P690,Product 9,3,2024-03-23,34.8,10184.0,India
INV100361,P244,Product 31,10,2024-03-21,77.1,10112.0,Germany
INV100362,P612,Product 48,10,2023-11-29,45.62,10178.0,Spain
INV100363,P714,Product 16,8,2023-08-03,93.28,10132.0,India
INV100364,P274,Product 22,4,2024-06-23,19.81,10154.0,Spain
INV100365,P608,Product 41,1,2024-06-05,83.74,10062.0,Spain
INV100366,P139,Product 22,9,2023-02-04,54.21,10117.0,Spain
INV100367,P834,Product 23,9,2023-03-20,63.78,10133.0,France
INV100368,P575,Product 30,7,2024-05-12,17.07,10190.0,Spain
INV100369,P284,Product 42,7,2024-01-12,79.36,10066.0,India
INV100370,P573,Product 38,8,2023-02-14,91.85,10219.0,United Kingdom
INV100371,P204,Product 19,10,2023-01-15,49.57,10242.0,Germany
INV100372,P826,Product 10,1,2023-07-22,94.35,10188.0,Spain
INV100373,P629,Product 1,2,2024-01-01,90.78,10233.0,France
INV100374,P587,Product 12,5,2023-06-13,25.83,10152.0,Netherlands
INV100375,P801,Product 29,3,2023-07-12,60.14,10028.0,Germany
INV100376,P445,Product 35,7,2024-04-23,37.72,,France
INV100377,P501,Product 2,9,2024-05-11,12.0,10039.0,France
INV100378,P404,Product 13,5,2023-06-14,24.61,10112.0,France
INV100379,P882,Product 45,6,2024-06-16,95.1,10190.0,India
INV100380,P711,Product 4,8,2023-11-03,39.42,10015.0,Germany
INV100381,P779,Product 9,6,2023-04-26,27.16,10136.0,Spain
INV100382,P486,Product 9,1,2023-10-26,36.21,10079.0,France
INV100383,P288,Product 44,7,2023-05-17,11.64,10206.0,France
INV100384,P130,Product 18,1,2023-12-11,51.27,10235.0,Spain
INV100385,P552,Product 9,10,2023-08-09,39.17,10195.0,Germany
INV100386,P843,Product 33,5,2023-01-01,59.65,10043.0,India
INV100387,P206,Product 15,9,2023-12-09,44.45,10196.0,France
INV100388,P899,Product 49,4,2023-08-23,82.1,10148.0,France
INV100389,P208,Product 27,4,2023-12-19,76.82,10196.0,India
INV100390,P649,Product 8,1,2023-04-07,26.0,10157.0,Spain
INV100391,P784,Product 8,9,2023-03-05,70.46,10049.0,United Kingdom
INV100392,P406,Product 40,2,2023-04-03,47.97,10108.0,United Kingdom
INV100393,P941,Product 2,4,2023-01-11,92.72,10065.0,Netherlands
INV100394,P871,Product 35,8,2023-05-31,73.67,10192.0,Germany
INV100395,P885,Product 31,3,2023-01-07,80.58,10247.0,France
INV100396,P533,Product 43,3,2024-03-04,70.53,10044.0,Netherlands
